cidade_origem,latitude_origem,longitude_origem,hospital,cidade_hospital,latitude_hospital,longitude_hospital,telefone,endereco,distancia_km,soro,animal
Abreu e Lima,-7.900719,-34.898389,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,16.881,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Afogados da Ingazeira,-7.743121,-37.630991,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,78.502,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Afrânio,-8.511358,-41.009544,Hospital Universitário de Petrolina (HU-UNIVASF),Petrolina,-9.39235484268768,-40.495606654821415,(87) 2101-6501/6526,Avenida José de Sá Maniçoba s/n - Centro,112.644,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Agrestina,-8.459657,-35.944725,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,23.937,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Alagoinha,-8.466504,-36.778767,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,30.799,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Aliança,-7.60398,-35.222696,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,61.247,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Altinho,-8.48482,-36.064408,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,28.321,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Amaraji,-8.376914,-35.450051,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,59.506,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Angelim,-8.884289,-36.290174,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,78.8,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Araripina,-7.570733,-40.494025,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,56.883,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
